 -- Frame 1 Framerate: 4.1 [Very Low Framerate]
 -- Frame 2 Framerate: 111.6 [Very Good Framerate]
 -- Frame 3 Framerate: 216.1 [Very Good Framerate]
 -- Frame 4 Framerate: 163.2 [Very Good Framerate]
 -- Frame 5 Framerate: 218.0 [Very Good Framerate]
 -- Frame 6 Framerate: 215.9 [Very Good Framerate]
 -- Frame 7 Framerate: 225.8 [Very Good Framerate]
 -- Frame 8 Framerate: 210.0 [Very Good Framerate]
 -- Frame 9 Framerate: 216.8 [Very Good Framerate]
 -- Frame 10 Framerate: 221.6 [Very Good Framerate]
 -- Frame 11 Framerate: 220.2 [Very Good Framerate]
 -- Frame 12 Framerate: 206.5 [Very Good Framerate]
 -- Frame 13 Framerate: 211.7 [Very Good Framerate]
 -- Frame 14 Framerate: 183.2 [Very Good Framerate]
 -- Frame 15 Framerate: 221.6 [Very Good Framerate]
 -- Frame 16 Framerate: 231.7 [Very Good Framerate]
 -- Frame 17 Framerate: 228.7 [Very Good Framerate]
 -- Frame 18 Framerate: 216.8 [Very Good Framerate]
 -- Frame 19 Framerate: 214.9 [Very Good Framerate]
 -- Frame 20 Framerate: 209.7 [Very Good Framerate]
 -- Frame 21 Framerate: 191.8 [Very Good Framerate]
 -- Frame 22 Framerate: 209.3 [Very Good Framerate]
 -- Frame 23 Framerate: 196.2 [Very Good Framerate]
 -- Frame 24 Framerate: 214.3 [Very Good Framerate]
 -- Frame 25 Framerate: 169.1 [Very Good Framerate]
 -- Frame 26 Framerate: 220.1 [Very Good Framerate]
 -- Frame 27 Framerate: 207.4 [Very Good Framerate]
 -- Frame 28 Framerate: 227.7 [Very Good Framerate]
 -- Frame 29 Framerate: 221.7 [Very Good Framerate]
 -- Frame 30 Framerate: 225.5 [Very Good Framerate]
 -- Frame 31 Framerate: 224.6 [Very Good Framerate]
 -- Frame 32 Framerate: 212.5 [Very Good Framerate]
 -- Frame 33 Framerate: 193.7 [Very Good Framerate]
 -- Frame 34 Framerate: 208.0 [Very Good Framerate]
 -- Frame 35 Framerate: 191.1 [Very Good Framerate]
 -- Frame 36 Framerate: 204.9 [Very Good Framerate]
 -- Frame 37 Framerate: 190.8 [Very Good Framerate]
 -- Frame 38 Framerate: 213.6 [Very Good Framerate]
 -- Frame 39 Framerate: 221.1 [Very Good Framerate]
 -- Frame 40 Framerate: 221.7 [Very Good Framerate]
 -- Frame 41 Framerate: 211.1 [Very Good Framerate]
 -- Frame 42 Framerate: 75.3 [Very Good Framerate]
 -- Frame 43 Framerate: 225.7 [Very Good Framerate]
 -- Frame 44 Framerate: 220.9 [Very Good Framerate]
 -- Frame 45 Framerate: 222.2 [Very Good Framerate]
 -- Frame 46 Framerate: 212.5 [Very Good Framerate]
 -- Frame 47 Framerate: 227.3 [Very Good Framerate]
 -- Frame 48 Framerate: 202.5 [Very Good Framerate]
 -- Frame 49 Framerate: 214.7 [Very Good Framerate]
 -- Frame 50 Framerate: 231.6 [Very Good Framerate]
 -- Frame 51 Framerate: 200.9 [Very Good Framerate]
 -- Frame 52 Framerate: 207.2 [Very Good Framerate]
 -- Frame 53 Framerate: 218.3 [Very Good Framerate]
 -- Frame 54 Framerate: 217.8 [Very Good Framerate]
 -- Frame 55 Framerate: 211.4 [Very Good Framerate]
 -- Frame 56 Framerate: 213.4 [Very Good Framerate]
 -- Frame 57 Framerate: 201.7 [Very Good Framerate]
 -- Frame 58 Framerate: 213.6 [Very Good Framerate]
 -- Frame 59 Framerate: 198.8 [Very Good Framerate]
 -- Frame 60 Framerate: 208.1 [Very Good Framerate]
 -- Frame 61 Framerate: 212.4 [Very Good Framerate]
 -- Frame 62 Framerate: 212.3 [Very Good Framerate]
 -- Frame 63 Framerate: 203.6 [Very Good Framerate]
 -- Frame 64 Framerate: 212.4 [Very Good Framerate]
 -- Frame 65 Framerate: 202.3 [Very Good Framerate]
 -- Frame 66 Framerate: 204.7 [Very Good Framerate]
 -- Frame 67 Framerate: 153.0 [Very Good Framerate]
 -- Frame 68 Framerate: 184.8 [Very Good Framerate]
 -- Frame 69 Framerate: 197.4 [Very Good Framerate]
 -- Frame 70 Framerate: 0.8 [Very Low Framerate]
 -- Frame 71 Framerate: 0.6 [Very Low Framerate]
 -- Frame 72 Framerate: 3.6 [Very Low Framerate]
 -- Frame 73 Framerate: 12.1 [Low Framerate]
 -- Frame 74 Framerate: 15.5 [Low Framerate]
 -- Frame 75 Framerate: 15.5 [Low Framerate]
 -- Frame 76 Framerate: 19.0 [Low Framerate]
 -- Frame 77 Framerate: 18.7 [Low Framerate]
 -- Frame 78 Framerate: 18.9 [Low Framerate]
 -- Frame 79 Framerate: 18.7 [Low Framerate]
 -- Frame 80 Framerate: 8.8 [Very Low Framerate]
 -- Frame 81 Framerate: 17.9 [Low Framerate]
 -- Frame 82 Framerate: 20.4 [Okay Framerate]
 -- Frame 83 Framerate: 18.0 [Low Framerate]
 -- Frame 84 Framerate: 18.1 [Low Framerate]
 -- Frame 85 Framerate: 19.2 [Low Framerate]
 -- Frame 86 Framerate: 17.5 [Low Framerate]
 -- Frame 87 Framerate: 16.6 [Low Framerate]
 -- Frame 88 Framerate: 16.8 [Low Framerate]
 -- Frame 89 Framerate: 18.1 [Low Framerate]
 -- Frame 90 Framerate: 14.7 [Low Framerate]
 -- Frame 91 Framerate: 15.7 [Low Framerate]
 -- Frame 92 Framerate: 17.0 [Low Framerate]
 -- Frame 93 Framerate: 17.1 [Low Framerate]
 -- Frame 94 Framerate: 16.2 [Low Framerate]
 -- Frame 95 Framerate: 18.2 [Low Framerate]
 -- Frame 96 Framerate: 16.9 [Low Framerate]
 -- Frame 97 Framerate: 16.0 [Low Framerate]
 -- Frame 98 Framerate: 17.2 [Low Framerate]
 -- Frame 99 Framerate: 18.3 [Low Framerate]
 -- Frame 100 Framerate: 17.0 [Low Framerate]
 -- Frame 101 Framerate: 15.7 [Low Framerate]
 -- Frame 102 Framerate: 14.9 [Low Framerate]
 -- Frame 103 Framerate: 16.1 [Low Framerate]
 -- Frame 104 Framerate: 18.4 [Low Framerate]
 -- Frame 105 Framerate: 20.5 [Okay Framerate]
 -- Frame 106 Framerate: 20.5 [Okay Framerate]
 -- Frame 107 Framerate: 20.4 [Okay Framerate]
 -- Frame 108 Framerate: 20.4 [Okay Framerate]
 -- Frame 109 Framerate: 16.1 [Low Framerate]
 -- Frame 110 Framerate: 20.8 [Okay Framerate]
 -- Frame 111 Framerate: 20.3 [Okay Framerate]
 -- Frame 112 Framerate: 19.0 [Low Framerate]
 -- Frame 113 Framerate: 19.0 [Low Framerate]
 -- Frame 114 Framerate: 17.4 [Low Framerate]
 -- Frame 115 Framerate: 18.6 [Low Framerate]
 -- Frame 116 Framerate: 17.9 [Low Framerate]
 -- Frame 117 Framerate: 15.6 [Low Framerate]
 -- Frame 118 Framerate: 14.9 [Low Framerate]
 -- Frame 119 Framerate: 20.1 [Okay Framerate]
 -- Frame 120 Framerate: 20.7 [Okay Framerate]
 -- Frame 121 Framerate: 19.6 [Low Framerate]
 -- Frame 122 Framerate: 18.0 [Low Framerate]
 -- Frame 123 Framerate: 20.2 [Okay Framerate]
 -- Frame 124 Framerate: 19.4 [Low Framerate]
 -- Frame 125 Framerate: 18.2 [Low Framerate]
 -- Frame 126 Framerate: 18.9 [Low Framerate]
 -- Frame 127 Framerate: 18.9 [Low Framerate]
 -- Frame 128 Framerate: 17.5 [Low Framerate]
 -- Frame 129 Framerate: 16.4 [Low Framerate]
 -- Frame 130 Framerate: 18.4 [Low Framerate]
 -- Frame 131 Framerate: 18.6 [Low Framerate]
 -- Frame 132 Framerate: 15.3 [Low Framerate]
 -- Frame 133 Framerate: 18.9 [Low Framerate]
 -- Frame 134 Framerate: 20.5 [Okay Framerate]
 -- Frame 135 Framerate: 19.5 [Low Framerate]
 -- Frame 136 Framerate: 16.9 [Low Framerate]
 -- Frame 137 Framerate: 16.5 [Low Framerate]
 -- Frame 138 Framerate: 16.7 [Low Framerate]
 -- Frame 139 Framerate: 19.9 [Low Framerate]
 -- Frame 140 Framerate: 22.6 [Okay Framerate]
 -- Frame 141 Framerate: 22.6 [Okay Framerate]
 -- Frame 142 Framerate: 22.5 [Okay Framerate]
 -- Frame 143 Framerate: 21.7 [Okay Framerate]
 -- Frame 144 Framerate: 17.7 [Low Framerate]
 -- Frame 145 Framerate: 21.1 [Okay Framerate]
 -- Frame 146 Framerate: 21.9 [Okay Framerate]
 -- Frame 147 Framerate: 20.4 [Okay Framerate]
 -- Frame 148 Framerate: 23.2 [Okay Framerate]
