 -- Frame 1 Framerate: 42.5 [Very Good Framerate]
 -- Frame 2 Framerate: 29.6 [Good Framerate]
 -- Frame 3 Framerate: 3.0 [Very Low Framerate]
 -- Frame 4 Framerate: 35.9 [Good Framerate]
 -- Frame 5 Framerate: 23.0 [Okay Framerate]
 -- Frame 6 Framerate: 52.6 [Very Good Framerate]
 -- Frame 7 Framerate: 29.7 [Good Framerate]
 -- Frame 8 Framerate: 31.3 [Good Framerate]
 -- Frame 9 Framerate: 38.9 [Good Framerate]
 -- Frame 10 Framerate: 20.8 [Okay Framerate]
 -- Frame 11 Framerate: 20.6 [Okay Framerate]
 -- Frame 12 Framerate: 25.9 [Good Framerate]
 -- Frame 13 Framerate: 28.4 [Good Framerate]
 -- Frame 14 Framerate: 31.8 [Good Framerate]
 -- Frame 15 Framerate: 21.1 [Okay Framerate]
 -- Frame 16 Framerate: 27.1 [Good Framerate]
 -- Frame 17 Framerate: 20.6 [Okay Framerate]
 -- Frame 18 Framerate: 25.0 [Okay Framerate]
 -- Frame 19 Framerate: 18.0 [Low Framerate]
 -- Frame 20 Framerate: 33.2 [Good Framerate]
 -- Frame 21 Framerate: 23.8 [Okay Framerate]
 -- Frame 22 Framerate: 21.4 [Okay Framerate]
 -- Frame 23 Framerate: 24.0 [Okay Framerate]
 -- Frame 24 Framerate: 21.9 [Okay Framerate]
 -- Frame 25 Framerate: 27.0 [Good Framerate]
 -- Frame 26 Framerate: 33.3 [Good Framerate]
 -- Frame 27 Framerate: 21.7 [Okay Framerate]
 -- Frame 28 Framerate: 23.5 [Okay Framerate]
 -- Frame 29 Framerate: 29.8 [Good Framerate]
 -- Frame 30 Framerate: 34.6 [Good Framerate]
 -- Frame 31 Framerate: 21.8 [Okay Framerate]
 -- Frame 32 Framerate: 22.2 [Okay Framerate]
 -- Frame 33 Framerate: 22.2 [Okay Framerate]
 -- Frame 34 Framerate: 21.9 [Okay Framerate]
 -- Frame 35 Framerate: 22.8 [Okay Framerate]
 -- Frame 36 Framerate: 22.6 [Okay Framerate]
 -- Frame 37 Framerate: 26.0 [Good Framerate]
 -- Frame 38 Framerate: 33.5 [Good Framerate]
 -- Frame 39 Framerate: 25.4 [Good Framerate]
 -- Frame 40 Framerate: 30.7 [Good Framerate]
 -- Frame 41 Framerate: 42.2 [Very Good Framerate]
 -- Frame 42 Framerate: 31.8 [Good Framerate]
 -- Frame 43 Framerate: 26.6 [Good Framerate]
 -- Frame 44 Framerate: 30.8 [Good Framerate]
 -- Frame 45 Framerate: 42.1 [Very Good Framerate]
 -- Frame 46 Framerate: 29.3 [Good Framerate]
 -- Frame 47 Framerate: 35.0 [Good Framerate]
 -- Frame 48 Framerate: 29.6 [Good Framerate]
 -- Frame 49 Framerate: 39.0 [Good Framerate]
 -- Frame 50 Framerate: 24.0 [Okay Framerate]
 -- Frame 51 Framerate: 26.8 [Good Framerate]
 -- Frame 52 Framerate: 34.9 [Good Framerate]
 -- Frame 53 Framerate: 25.9 [Good Framerate]
 -- Frame 54 Framerate: 33.8 [Good Framerate]
 -- Frame 55 Framerate: 23.2 [Okay Framerate]
 -- Frame 56 Framerate: 22.2 [Okay Framerate]
 -- Frame 57 Framerate: 24.2 [Okay Framerate]
 -- Frame 58 Framerate: 23.1 [Okay Framerate]
 -- Frame 59 Framerate: 24.6 [Okay Framerate]
 -- Frame 60 Framerate: 25.5 [Good Framerate]
 -- Frame 61 Framerate: 32.2 [Good Framerate]
 -- Frame 62 Framerate: 20.4 [Okay Framerate]
 -- Frame 63 Framerate: 50.3 [Very Good Framerate]
 -- Frame 64 Framerate: 18.1 [Low Framerate]
 -- Frame 65 Framerate: 17.7 [Low Framerate]
 -- Frame 66 Framerate: 16.5 [Low Framerate]
 -- Frame 67 Framerate: 14.2 [Low Framerate]
 -- Frame 68 Framerate: 24.9 [Okay Framerate]
 -- Frame 69 Framerate: 22.7 [Okay Framerate]
